prices,address,no_beds,baths,sqft
460000, 6512 Starstreak Dr Austin TX 78745 ,4,2,1404
626704, 7915 Ryans Way Austin TX 78726 ,4,3,2643
395000, 1808 Rio Grande St APT 10 Austin TX 78701 ,3,4,1113
895000, 11600 Hunters Green Trl Austin TX 78732 ,4,4,3760
639900, 4610 Lyons Rd #1 Austin TX 78702 ,3,2,1521
489000, 3005 Castro St #2 Austin TX 78702 ,2,3,936
609500, 2800 Waymaker Way UNIT 29 Austin TX 78746 ,4,4,2658
549900, 3014 Val Dr Austin TX 78723 ,4,3,1989
750000, 15620 Belfin Dr Austin TX 78717 ,5,4,3633
5290000, 8045 Chalk Knoll Dr Austin TX 78735 ,4,8,1255
350000, 2729 Dulce Ln UNIT 521 Austin TX 78704 ,2,1,945
329500, 6404 Ponca St Austin TX 78741 ,4,2,728
375000, 4805 Old Castle Rd Austin TX 78745 ,3,2,958
725000, 10404 Ember Glen Dr Austin TX 78726 ,5,4,3740
699000, 5705 Medicine Creek Dr Austin TX 78735 ,5,4,3136
1999999, 10001 Thaxton Rd Austin TX 78747 ,5,6,5984
572500, 3607 Meredith St #1 Austin TX 78703 ,3,2,1182
340000, 12800 Venice Ln Austin TX 78750 ,3,3,1607
695000, 10605 Mcfarlie Cv Austin TX 78750 ,4,3,2344
