prices,address,no_beds,baths,sqft
1539000, 1623 S Mansfield Ave Los Angeles CA 90019 ,4,3,2144
3330000, 1947 Camden Ave Los Angeles CA 90025 ,5,5,3027
1049000, 4322 Glencoe Ave UNIT 1 Marina Del Rey CA 90292 ,2,2,1057
3095000, 663 Brooks Ave Venice CA 90291 ,3,3,3103
6749900, 631 N Marquette St Pacific Palisades CA 90272 ,4,5,2800
599000, 712 Bernard St APT 2 Los Angeles CA 90012 ,3,2,1130
1775000, 2151 Talmadge St Los Angeles CA 90027 ,4,3,2818
688000, 3875 Filion St Los Angeles CA 90065 ,1,1,600
3195000, 2401 Jupiter Dr Los Angeles CA 90046 ,4,4,3894
75000000, 1060 Brooklawn Dr Los Angeles CA 90077 ,13,17,15011
869950, 11380 Oakford Ln Northridge CA 91326 ,3,3,2077
739999, 14749 Marlin Pl Van Nuys CA 91405 ,3,2,1723
24995000, 12730 Hanover St Los Angeles CA 90049 ,8,10,13216
1695000, 4614 Townsend Ave Los Angeles CA 90041 ,4,3,2817
475000, 1128 W Edgeware Rd Los Angeles CA 90026 ,1,1,720
850500, 3002 Farmdale Ave Los Angeles CA 90016 ,3,2,1620
1780000, 9611 Yoakum Dr Beverly Hills CA 90210 ,2,2,2452
16950000, 721 Dolo Way Los Angeles CA 90077 ,5,7,8843
14995000, 184 S Hudson Ave Los Angeles CA 90004 ,7,8,9670
1349900, 19600 Pine Valley Way Porter Ranch CA 91326 ,4,3,3923
589900, 14949 Chatsworth Dr Mission Hills CA 91345 ,2,2,1140
900000, 2090 W 31st St Los Angeles CA 90018 ,3,2,1513
1149000, 1551 Crater Ln Los Angeles CA 90077 ,3,3,1774
1250000, 7318 W 88th Pl Los Angeles CA 90045 ,3,2,1222
295000, 18620 Hatteras St UNIT 122 Los Angeles CA 91356 ,2,2,910
700000, 1412 W 88th St Los Angeles CA 90047 ,3,2,1390
765000, Floor Plan 07 Tower II Plan Metropolis Los Angeles ,1,1,865
1735000, 2110 Overland Ave Los Angeles CA 90025 ,2,2,1627
1930000, 1567 S Oakhurst Dr Los Angeles CA 90035 ,3,2,1954
1049000, 3737 Cazador St Los Angeles CA 90065 ,4,2,2436
2749000, 284 Bronwood Ave Los Angeles CA 90049 ,3,3,2438
8100000, 1126 Stradella Rd Los Angeles CA 90077 ,4,7,4252
1595000, 8819 Horner St Los Angeles CA 90035 ,3,2,1690
599000, 1111 S Grand Ave APT 910 Los Angeles CA 90015 ,1,1,840
2495000, 3438 Waverly Dr Los Angeles CA 90027 ,3,3,2270
3085000, 3551 Lowry Rd Los Angeles CA 90027 ,4,4,3569
96000, 5051 Argus Dr TRAILER 23 Los Angeles CA 90041 ,1,1,504
1179000, 2448 Zorada Dr Los Angeles CA 90046 ,3,3,1296
1899000, 984 Indiana Ave Venice CA 90291 ,2,3,1804
335000, 5460 White Oak Ave UNIT E326 Los Angeles CA 91316 ,2,2,1009
505000, 13565 Valerio St UNIT E Van Nuys CA 91405 ,2,3,1210
12499000, 8 Oakmont Dr Los Angeles CA 90049 ,8,10,9508
650000, 4517 Amber Pl Los Angeles CA 90032 ,3,2,1012
899000, 4247 7th Ave Los Angeles CA 90008 ,2,2,1413
2750000, 5700 Rhodes Ave Valley Village CA 91607 ,6,5,5991
2295000, 3513 Maplewood Ave Los Angeles CA 90066 ,3,3,2119
825000, 7143 Woodrow Wilson Dr Los Angeles CA 90068 ,1,2,825
1600000, 6908 Woodrow Wilson Dr Los Angeles CA 90068 ,5,6,3652
1579000, 12580 Westminster Ave Los Angeles CA 90066 ,3,3,1420
359900, 18620 Hatteras St UNIT 203 Los Angeles CA 91356 ,2,2,910
1495000, 9833 Easton Dr Beverly Hills CA 90210 ,3,3,1500
