prices,address,no_beds,baths,sqft
499994, 10739 Helendale Ave Tujunga CA 91042 ,3,2,648
58000000, 9366 Flicker Way Los Angeles CA 90069 ,7,10,17000
15900000, 314 N Barrington Ave Los Angeles CA 90049 ,5,9,8497
6000000, 16677 Stone Oak Park Los Angeles CA 90049 ,5,6,6898
779000, 12216 Hartland St North Hollywood CA 91605 ,4,2,1638
898000, 6136 Bonner Ave North Hollywood CA 91606 ,4,4,2178
479000, 24711 Baypoint Ave Wilmington CA 90744 ,3,1,1012
499000, 10444 Canoga Ave UNIT 36 Los Angeles CA 91311 ,3,3,1869
27888000, 1677 N Doheny Dr Los Angeles CA 90069 ,5,8,1178
3350000, 7475 Franklin Ave Los Angeles CA 90046 ,5,3,3240
1195000, 8745 Wonderland Ave Los Angeles CA 90046 ,2,2,1564
1399000, 4611 Don Lorenzo Dr Los Angeles CA 90008 ,4,3,2360
750000, 5748 10th Ave Los Angeles CA 90043 ,3,2,1671
13995000, 3950 Royal Oak Pl Encino CA 91436 ,8,14,13000
2050000, 12119 Delante Way Granada Hills CA 91344 ,4,5,4744
2795000, 1401 N Ogden Dr Los Angeles CA 90046 ,3,3,2457
925000, 4545 San Blas Ave Woodland Hills CA 91364 ,2,2,1761
6495000, 9607 Wendover Dr Beverly Hills CA 90210 ,5,5,5741
399000, 12411 Osborne St UNIT 4 Los Angeles CA 91331 ,2,3,1107
789000, 979 Dexter St Los Angeles CA 90042 ,3,1,951
3195000, 1623 Tower Grove Dr Beverly Hills CA 90210 ,4,4,3310
1099000, 1530 Allesandro St Los Angeles CA 90026 ,3,2,1428
2895000, 7556 W 80th St Los Angeles CA 90045 ,5,5,4090
3149000, 11130 Blix St North Hollywood CA 91602 ,5,6,5285
759000, 7700 Alcove Ave North Hollywood CA 91605 ,3,2,1586
680000, 8300 Manitoba St APT 105 Playa Del Rey CA 90293 ,2,2,945
549000, 420 S San Pedro St APT 319 Los Angeles CA 90013 ,1,1,980
599000, 617 1/2 Micheltorena St Los Angeles CA 90026 ,2,1,744
799000, 22558 Vose St West Hills CA 91307 ,3,2,1916
39900000, 301 Copa De Oro Rd Los Angeles CA 90077 ,7,10,11920
1499000, 3936 Woodfield Dr Sherman Oaks CA 91403 ,3,3,2208
550000, 1414 W 54th St Los Angeles CA 90062 ,3,3,1300
1500000, 6538 Cahuenga Ter Los Angeles CA 90068 ,4,5,4352
499000, Queensland St Los Angeles CA 90034 ,1,1,724
525000, 20028 Community St UNIT 77 Winnetka CA 91306 ,2,2,1198
2295000, 12217 Iredell St Studio City CA 91604 ,4,5,2986
840000, 423 Arnaz Dr APT 101 Los Angeles CA 90048 ,2,2,1170
2600000, 15714 Morrison St Encino CA 91436 ,5,6,4329
399900, 9906 Owensmouth Ave UNIT 5 Los Angeles CA 91311 ,2,3,1204
299999, 11150 Glenoaks Blvd UNIT 90 Los Angeles CA 91331 ,2,2,854
520777, 5081 College View Ave APT 5 Los Angeles CA 90041 ,2,3,1107
1385000, 4832 Lindley Ave Encino CA 91316 ,3,3,2188
1695000, 826 S Spaulding Ave Los Angeles CA 90036 ,3,2,1985
869000, 8714 Glider Ave Los Angeles CA 90045 ,2,2,1149
889000, 4124 W 59th Pl Los Angeles CA 90043 ,2,2,1076
799000, 20754 Keswick St Winnetka CA 91306 ,3,3,2073
630000, 2152 Cyril Ave Los Angeles CA 90032 ,2,1,843
