"size","gender","age","edu","wealth"
7,"1",9,"1","3"
7,"2",7,"0","3"
18,"2",9,"1","4"
18,"2",6,"1","4"
18,"2",2,"0","4"
18,"1",26,"2","4"
18,"2",24,"0","4"
18,"2",5,"0","4"
18,"2",3,"0","4"
18,"1",24,"2","4"
18,"2",22,"1","4"
18,"2",3,"0","4"
18,"1",1,"0","4"
18,"1",21,"1","4"
18,"1",90,"2","4"
9,"1",3,"0","1"
9,"1",1,"0","1"
9,"1",22,"0","1"
9,"1",17,"0","1"
9,"1",26,"1","4"
9,"2",26,"0","4"
9,"2",5,"0","4"
9,"1",0,"0","4"
10,"2",24,"0","3"
10,"1",32,"0","3"
10,"2",8,"1","3"
10,"2",6,"1","3"
10,"1",1,"0","3"
6,"2",1,"0","5"
7,"1",35,"3","4"
7,"1",17,"3","4"
6,"1",15,"2","4"
9,"2",4,"0","4"
9,"2",23,"2","4"
9,"1",1,"0","4"
9,"1",27,"2","4"
6,"2",15,"2","5"
7,"2",3,"0","2"
7,"2",65,"0","2"
7,"2",24,"3","1"
7,"2",93,"0","1"
6,"2",13,"1","2"
8,"2",30,"2","3"
8,"1",10,"1","3"
8,"1",10,"1","3"
7,"2",4,"0","3"
7,"2",65,"0","3"
7,"1",1,"0","2"
7,"1",81,"0","2"
6,"2",8,"1","1"
7,"1",15,"2","2"
7,"1",11,"1","2"
6,"1",7,"1","2"
8,"2",18,"2","3"
8,"1",19,"2","3"
8,"1",62,"2","3"
6,"2",59,"0","1"
7,"2",11,"2","2"
7,"1",10,"1","2"
7,"2",84,"0","2"
7,"2",57,"0","2"
8,"2",19,"2","2"
8,"1",1,"0","2"
8,"1",20,"3","2"
10,"2",7,"1","3"
10,"1",5,"0","3"
10,"1",32,"2","3"
10,"2",31,"1","3"
10,"1",11,"1","3"
7,"1",15,"2","2"
7,"2",13,"1","2"
7,"2",27,"2","3"
7,"2",5,"1","3"
7,"1",74,"0","2"
7,"2",72,"0","2"
7,"2",7,"1","1"
7,"2",2,"0","1"
14,"1",12,"1","3"
14,"1",12,"2","3"
14,"1",9,"1","3"
14,"2",27,"0","3"
14,"1",23,"2","3"
14,"2",20,"2","3"
14,"1",3,"0","3"
14,"1",1,"0","3"
14,"2",20,"0","3"
7,"2",1,"0","1"
7,"1",12,"2","1"
7,"2",18,"3","2"
7,"1",15,"3","2"
6,"1",0,"0","1"
6,"1",11,"2","3"
7,"1",1,"0","2"
7,"1",16,"2","2"
6,"2",80,"0","2"
6,"1",87,"0","1"
6,"2",5,"1","2"
8,"1",6,"0","3"
8,"1",64,"1","3"
8,"2",47,"0","3"
6,"2",5,"0","3"
7,"1",9,"1","4"
7,"1",17,"2","4"
6,"1",9,"1","3"
6,"2",0,"0","2"
9,"1",22,"2","2"
9,"2",23,"3","2"
9,"2",4,"0","2"
9,"1",1,"0","2"
7,"2",3,"0","1"
7,"1",1,"0","1"
6,"2",9,"1","1"
6,"1",12,"1","2"
6,"1",7,"0","2"
6,"2",13,"1","1"
6,"1",17,"2","1"
7,"1",11,"1","2"
7,"1",9,"1","2"
8,"1",6,"0","1"
8,"1",1,"0","1"
8,"1",0,"0","1"
12,"1",22,"3","2"
12,"2",22,"2","2"
12,"2",2,"0","2"
12,"1",0,"0","2"
12,"1",4,"0","2"
12,"1",4,"0","2"
12,"1",88,"0","2"
6,"1",11,"1","3"
6,"2",13,"2","2"
6,"2",18,"2","2"
6,"1",3,"0","2"
7,"2",68,"0","1"
7,"1",49,"0","1"
6,"1",28,"2","2"
8,"2",19,"2","2"
8,"2",35,"1","2"
8,"2",0,"0","2"
11,"1",16,"3","2"
11,"2",10,"1","2"
11,"1",31,"2","2"
11,"2",24,"2","2"
11,"2",9,"1","2"
11,"2",7,"1","2"
8,"2",4,"0","2"
8,"1",3,"0","2"
8,"2",76,"0","2"
7,"1",10,"1","1"
7,"1",7,"1","1"
7,"2",19,"2","2"
7,"2",1,"0","2"
6,"1",24,"2","1"
10,"1",18,"2","2"
10,"2",22,"2","2"
10,"2",1,"0","2"
10,"1",13,"2","2"
10,"2",21,"2","2"
6,"2",14,"1","2"
7,"2",22,"2","2"
7,"1",20,"2","2"
7,"2",16,"2","3"
7,"2",13,"2","3"
6,"1",20,"3","4"
7,"2",51,"0","2"
7,"1",16,"2","2"
6,"1",16,"2","4"
7,"1",4,"0","4"
7,"2",7,"1","4"
6,"2",7,"1","4"
8,"1",80,"0","3"
8,"2",68,"0","3"
8,"1",52,"2","3"
6,"1",9,"1","2"
6,"1",15,"2","3"
6,"1",0,"0","3"
7,"2",28,"0","3"
7,"2",9,"1","3"
7,"1",4,"0","2"
7,"2",2,"0","2"
6,"2",80,"0","2"
7,"1",18,"2","4"
7,"1",15,"2","4"
6,"1",11,"1","4"
7,"2",5,"1","2"
7,"1",3,"0","2"
6,"1",5,"0","2"
9,"1",1,"0","4"
9,"1",30,"2","4"
9,"2",23,"1","4"
9,"2",0,"0","4"
7,"1",3,"0","4"
7,"1",70,"1","4"
9,"1",20,"3","5"
9,"2",31,"2","5"
9,"1",4,"0","5"
9,"2",14,"2","5"
6,"1",0,"0","4"
6,"2",14,"2","4"
6,"1",20,"3","4"
6,"2",86,"0","4"
6,"2",22,"3","5"
7,"2",86,"0","5"
7,"1",25,"2","5"
7,"2",25,"1","4"
7,"1",19,"2","4"
6,"2",2,"0","2"
6,"2",3,"0","4"
6,"2",17,"2","2"
6,"2",3,"0","2"
6,"1",77,"0","5"
6,"1",14,"2","3"
6,"1",13,"2","1"
8,"1",3,"0","4"
8,"2",0,"0","4"
8,"2",4,"0","4"
7,"2",13,"1","2"
7,"1",10,"1","2"
6,"1",8,"1","1"
6,"2",65,"0","4"
11,"2",14,"2","4"
11,"2",12,"1","4"
11,"1",35,"2","4"
11,"2",24,"0","4"
11,"2",4,"0","4"
11,"2",0,"0","4"
6,"2",4,"0","3"
9,"1",2,"0","2"
9,"1",35,"2","2"
9,"2",25,"0","2"
9,"1",1,"0","2"
7,"2",20,"2","3"
7,"1",23,"2","3"
6,"2",18,"2","3"
6,"1",10,"1","1"
6,"1",17,"2","4"
7,"2",5,"1","2"
7,"2",1,"0","2"
6,"2",10,"1","3"
10,"2",11,"1","3"
10,"2",5,"1","3"
10,"1",70,"0","3"
10,"2",65,"0","3"
10,"1",17,"2","3"
6,"2",19,"2","3"
7,"2",80,"0","4"
7,"2",16,"2","4"
7,"2",17,"2","4"
7,"2",0,"0","4"
7,"1",11,"2","5"
7,"2",6,"0","5"
6,"2",20,"2","4"
6,"1",3,"0","5"
7,"1",17,"1","4"
7,"2",15,"1","4"
9,"1",6,"0","3"
9,"2",30,"0","3"
9,"1",3,"0","3"
9,"1",0,"0","3"
9,"1",28,"3","5"
9,"2",23,"3","5"
9,"2",30,"3","5"
9,"2",6,"1","5"
7,"2",11,"1","3"
7,"2",6,"1","3"
6,"2",4,"0","3"
6,"2",52,"0","4"
6,"2",65,"0","4"
6,"2",76,"0","3"
7,"1",20,"2","3"
7,"2",17,"2","3"
8,"1",18,"2","4"
8,"2",16,"2","4"
8,"1",13,"2","4"
7,"1",0,"0","3"
7,"1",17,"1","3"
9,"2",18,"2","3"
9,"1",19,"1","3"
9,"2",22,"2","3"
9,"1",0,"0","3"
6,"1",18,"3","5"
10,"1",0,"0","4"
10,"1",11,"1","4"
10,"2",10,"1","4"
10,"2",65,"0","4"
10,"2",45,"0","4"
7,"1",3,"0","1"
7,"2",1,"0","1"
6,"2",2,"0","4"
9,"2",22,"0","5"
9,"1",25,"3","5"
9,"1",1,"0","5"
9,"2",16,"0","5"
6,"2",65,"0","4"
8,"1",2,"0","3"
8,"1",71,"0","3"
8,"2",13,"1","3"
9,"2",56,"0","3"
9,"1",24,"0","3"
9,"2",18,"0","3"
9,"2",0,"0","3"
7,"1",11,"2","3"
7,"2",15,"2","3"
8,"2",14,"1","3"
8,"2",10,"0","3"
8,"2",8,"0","3"
8,"2",11,"1","3"
8,"2",25,"2","3"
8,"2",3,"0","3"
6,"2",58,"0","4"
10,"2",3,"0","3"
10,"2",1,"0","3"
10,"2",16,"0","3"
10,"2",12,"1","3"
10,"2",9,"1","3"
10,"2",2,"0","4"
10,"2",1,"0","4"
10,"1",18,"2","4"
10,"2",17,"2","4"
10,"2",12,"1","4"
6,"1",70,"0","2"
11,"2",26,"0","4"
11,"2",5,"0","4"
11,"2",2,"0","4"
11,"2",0,"0","4"
11,"2",20,"2","4"
11,"1",18,"2","4"
9,"1",2,"0","4"
9,"1",0,"0","4"
9,"2",15,"2","4"
9,"1",80,"0","4"
7,"1",18,"2","3"
7,"1",15,"2","3"
8,"1",54,"3","5"
8,"2",42,"2","5"
8,"1",14,"2","5"
6,"1",21,"2","3"
6,"2",60,"0","4"
11,"1",35,"2","4"
11,"2",22,"1","4"
11,"1",9,"1","4"
11,"1",4,"0","4"
11,"1",28,"2","4"
11,"2",18,"2","4"
6,"2",65,"0","3"
9,"1",5,"0","2"
9,"2",17,"1","2"
9,"1",21,"1","2"
9,"2",15,"2","2"
7,"2",9,"0","3"
7,"1",62,"0","3"
11,"1",5,"0","3"
11,"1",4,"0","3"
11,"2",2,"0","3"
11,"1",20,"2","3"
11,"2",15,"1","3"
11,"2",62,"0","3"
11,"1",25,"1","3"
11,"2",22,"0","3"
11,"2",1,"0","3"
11,"2",16,"1","3"
11,"1",13,"1","3"
11,"2",11,"1","3"
7,"2",2,"0","4"
7,"1",0,"0","4"
9,"2",17,"2","5"
9,"1",17,"1","5"
9,"2",14,"1","5"
9,"1",12,"1","5"
12,"1",17,"2","4"
12,"2",13,"1","4"
12,"1",12,"2","4"
12,"2",9,"1","4"
12,"1",8,"1","4"
12,"1",52,"0","4"
12,"2",45,"0","4"
8,"2",12,"1","3"
8,"2",6,"1","3"
8,"1",4,"0","3"
7,"2",88,"0","3"
7,"2",7,"1","3"
6,"2",13,"1","3"
11,"2",2,"0","3"
11,"2",0,"0","3"
11,"2",17,"1","3"
11,"2",14,"1","3"
11,"1",13,"1","3"
11,"2",11,"1","3"
6,"1",0,"0","4"
6,"2",5,"0","3"
14,"2",2,"0","4"
14,"2",22,"1","4"
14,"1",0,"0","4"
14,"1",17,"2","4"
14,"2",13,"0","4"
14,"2",13,"0","4"
14,"1",10,"1","4"
14,"2",20,"0","4"
14,"2",1,"0","4"
7,"1",10,"1","2"
7,"2",8,"1","2"
6,"2",17,"2","3"
7,"2",18,"2","2"
7,"2",68,"0","2"
9,"2",75,"0","3"
9,"1",54,"1","3"
9,"1",64,"0","3"
9,"1",33,"2","3"
6,"2",57,"0","2"
6,"1",10,"1","2"
6,"2",78,"0","1"
6,"2",78,"0","3"
7,"2",6,"1","1"
7,"2",8,"1","1"
6,"1",4,"0","1"
8,"2",5,"0","2"
8,"2",1,"0","2"
8,"2",24,"3","2"
7,"2",60,"0","2"
7,"1",16,"2","2"
6,"2",7,"1","1"
7,"2",13,"1","2"
7,"1",10,"2","2"
10,"1",7,"1","2"
10,"1",1,"0","2"
10,"2",21,"2","2"
10,"1",0,"0","2"
10,"2",17,"2","2"
8,"1",14,"1","1"
8,"1",7,"1","1"
8,"2",11,"1","1"
7,"1",22,"2","3"
7,"2",7,"1","3"
6,"2",82,"0","2"
6,"2",2,"0","1"
7,"1",24,"1","1"
7,"1",12,"1","1"
6,"2",89,"0","2"
6,"1",12,"1","1"
8,"2",8,"1","1"
8,"1",81,"0","1"
8,"2",81,"0","1"
7,"2",16,"1","1"
7,"2",6,"1","1"
6,"1",17,"2","2"
10,"1",10,"1","1"
10,"1",8,"1","1"
10,"2",5,"0","1"
10,"1",68,"0","1"
10,"2",65,"0","1"
6,"2",22,"3","2"
6,"2",69,"0","2"
6,"2",0,"0","2"
6,"2",7,"1","2"
7,"2",23,"1","1"
7,"2",2,"0","1"
7,"1",3,"0","1"
7,"2",2,"0","1"
6,"2",11,"1","1"
6,"1",12,"1","1"
6,"1",10,"1","2"
7,"2",30,"3","1"
7,"1",2,"0","1"
6,"1",5,"1","1"
8,"1",15,"1","1"
8,"1",11,"1","1"
8,"1",9,"1","1"
7,"1",17,"2","1"
7,"1",11,"1","1"
10,"2",8,"1","1"
10,"1",5,"0","1"
10,"1",4,"0","1"
10,"2",1,"0","1"
10,"2",59,"0","1"
7,"1",73,"0","1"
7,"2",69,"0","1"
8,"1",32,"1","1"
8,"1",74,"0","1"
8,"2",77,"0","1"
6,"1",9,"1","1"
7,"2",13,"1","2"
7,"2",10,"1","2"
7,"2",0,"0","2"
7,"1",32,"2","2"
6,"2",20,"3","1"
6,"1",9,"1","1"
6,"2",5,"1","2"
8,"2",8,"1","2"
8,"1",50,"0","2"
8,"1",16,"2","2"
8,"1",10,"2","3"
8,"2",76,"0","3"
8,"1",30,"3","3"
7,"1",71,"0","1"
7,"2",17,"2","1"
6,"1",16,"1","1"
7,"2",87,"0","1"
7,"2",47,"0","1"
10,"1",16,"2","1"
10,"1",12,"2","1"
10,"1",10,"1","1"
10,"1",9,"1","1"
10,"1",7,"1","1"
6,"2",20,"2","1"
7,"1",10,"1","1"
7,"1",14,"1","1"
8,"2",7,"1","1"
8,"2",0,"0","1"
8,"1",13,"1","1"
8,"2",8,"1","1"
8,"1",6,"0","1"
8,"1",0,"0","1"
8,"2",9,"1","1"
8,"1",7,"1","1"
8,"2",5,"1","1"
7,"2",10,"1","1"
7,"2",95,"0","1"
8,"1",3,"0","1"
