"size","gender","age","edu","wealth"
11,"2",58,"0","2"
11,"1",14,"1","2"
6,"1",18,"2","4"
6,"1",11,"1","5"
7,"1",3,"0","3"
7,"1",27,"2","3"
7,"1",4,"0","2"
7,"2",0,"0","2"
7,"1",11,"1","4"
7,"1",7,"0","4"
8,"1",16,"2","3"
8,"2",13,"2","3"
8,"1",10,"1","3"
8,"2",27,"0","1"
8,"1",35,"0","1"
8,"2",13,"2","1"
6,"1",7,"0","2"
6,"2",1,"0","2"
6,"2",11,"1","3"
6,"2",63,"0","2"
6,"1",22,"1","4"
6,"2",13,"2","4"
6,"1",25,"2","1"
7,"1",3,"0","2"
7,"1",66,"0","2"
6,"1",11,"1","4"
6,"1",10,"1","2"
7,"1",12,"1","3"
7,"1",22,"1","3"
6,"2",5,"1","5"
7,"1",62,"1","3"
7,"2",59,"0","3"
8,"2",4,"0","4"
8,"1",67,"2","4"
8,"2",65,"0","4"
6,"1",24,"2","4"
7,"1",18,"2","3"
7,"2",61,"0","3"
6,"2",6,"0","2"
8,"1",25,"3","3"
8,"2",18,"2","3"
8,"1",0,"0","3"
6,"1",5,"1","4"
6,"1",18,"2","3"
6,"2",70,"0","3"
6,"2",60,"0","3"
8,"2",0,"0","4"
8,"2",18,"3","4"
8,"1",14,"2","4"
7,"2",6,"0","3"
7,"1",1,"0","3"
6,"2",1,"0","2"
14,"1",6,"0","5"
14,"1",30,"3","5"
14,"2",21,"3","5"
14,"1",27,"2","5"
14,"2",22,"0","5"
14,"1",2,"0","5"
14,"1",27,"3","5"
14,"2",21,"3","5"
14,"2",70,"0","5"
6,"1",26,"0","2"
6,"1",65,"0","3"
9,"2",25,"1","2"
9,"1",10,"1","2"
9,"1",4,"0","2"
9,"1",74,"1","2"
6,"2",20,"0","5"
6,"1",19,"2","2"
6,"1",5,"0","3"
6,"2",11,"1","5"
6,"2",17,"0","3"
7,"1",0,"0","4"
7,"2",57,"1","4"
6,"2",12,"2","4"
8,"1",18,"2","3"
8,"1",16,"2","3"
8,"1",13,"2","3"
6,"2",64,"0","2"
6,"2",70,"0","1"
6,"1",6,"1","1"
7,"2",39,"0","1"
7,"2",50,"0","1"
7,"2",12,"1","1"
7,"1",10,"1","1"
9,"2",6,"1","1"
9,"1",5,"1","1"
9,"2",60,"0","1"
9,"2",90,"0","1"
10,"2",19,"2","3"
10,"1",18,"2","3"
10,"2",14,"2","3"
10,"2",36,"0","3"
10,"1",5,"0","3"
7,"2",19,"2","1"
7,"2",0,"0","1"
11,"2",6,"0","4"
11,"2",24,"1","4"
11,"1",8,"0","4"
11,"1",5,"0","4"
11,"2",3,"0","4"
11,"1",19,"2","4"
9,"1",25,"1","4"
9,"2",18,"2","4"
9,"1",0,"0","4"
9,"1",8,"0","4"
8,"2",12,"1","3"
8,"2",18,"1","3"
8,"1",0,"0","3"
14,"2",3,"0","4"
14,"1",23,"1","4"
14,"2",21,"0","4"
14,"2",3,"0","4"
14,"2",0,"0","4"
14,"1",21,"3","4"
14,"2",15,"1","4"
14,"1",17,"2","4"
14,"1",12,"2","4"
8,"2",11,"0","3"
8,"1",9,"1","3"
8,"1",6,"1","3"
10,"1",15,"2","3"
10,"2",11,"2","3"
10,"1",5,"0","3"
10,"1",24,"2","3"
10,"2",21,"1","3"
13,"2",18,"2","3"
13,"1",15,"2","3"
13,"2",13,"1","3"
13,"2",11,"1","3"
13,"2",75,"0","3"
13,"2",21,"0","3"
13,"2",3,"0","3"
13,"2",0,"0","3"
9,"2",0,"0","3"
9,"2",22,"1","3"
9,"1",1,"0","3"
9,"1",32,"2","3"
6,"2",3,"0","2"
6,"2",7,"0","3"
6,"1",72,"0","2"
17,"1",3,"0","3"
17,"1",1,"0","3"
17,"2",17,"1","3"
17,"2",15,"1","3"
17,"1",12,"1","3"
17,"1",10,"1","3"
17,"1",28,"3","3"
17,"2",26,"0","3"
17,"2",9,"1","3"
17,"2",6,"0","3"
17,"2",4,"0","3"
17,"2",0,"0","3"
10,"1",9,"1","3"
10,"1",6,"0","3"
10,"2",24,"0","3"
10,"1",6,"0","3"
10,"2",2,"0","3"
13,"2",6,"0","4"
13,"2",39,"0","4"
13,"1",18,"1","4"
13,"2",16,"0","4"
13,"2",15,"0","4"
13,"2",13,"0","4"
13,"1",11,"1","4"
13,"1",7,"0","4"
11,"2",9,"1","2"
11,"1",7,"0","2"
11,"2",5,"0","2"
11,"2",18,"0","2"
11,"2",2,"0","2"
11,"1",0,"0","2"
6,"1",7,"0","2"
7,"1",6,"0","2"
7,"2",2,"0","2"
6,"1",11,"1","3"
7,"2",17,"2","4"
7,"2",5,"0","4"
7,"2",23,"2","4"
7,"1",0,"0","4"
7,"1",65,"0","3"
7,"2",60,"0","3"
7,"1",14,"2","4"
7,"2",13,"1","4"
8,"1",14,"1","5"
8,"1",10,"1","5"
8,"1",8,"1","5"
13,"2",19,"0","4"
13,"2",0,"0","4"
13,"2",35,"0","4"
13,"2",32,"0","4"
13,"1",35,"2","4"
13,"1",10,"1","4"
13,"1",7,"0","4"
13,"2",5,"1","4"
14,"1",3,"0","3"
14,"1",0,"0","3"
14,"1",22,"2","3"
14,"2",19,"2","3"
14,"2",0,"0","3"
14,"2",11,"1","3"
14,"2",8,"1","3"
14,"2",6,"0","3"
14,"1",74,"0","3"
15,"1",26,"1","4"
15,"2",20,"1","4"
15,"1",0,"0","4"
15,"1",18,"2","4"
15,"2",16,"1","4"
15,"2",11,"1","4"
15,"1",9,"1","4"
15,"1",71,"0","4"
15,"2",69,"0","4"
15,"2",14,"1","4"
7,"1",13,"1","3"
7,"1",7,"1","3"
9,"1",14,"1","4"
9,"1",12,"1","4"
9,"1",8,"1","4"
9,"2",7,"0","4"
6,"1",7,"0","4"
6,"1",37,"0","3"
10,"2",10,"1","4"
10,"2",7,"0","4"
10,"1",4,"0","4"
10,"1",27,"3","4"
10,"2",22,"3","4"
7,"1",3,"0","5"
7,"2",33,"3","5"
6,"2",0,"0","5"
7,"2",19,"2","5"
7,"1",0,"0","5"
7,"2",3,"0","3"
7,"2",1,"0","3"
6,"1",0,"0","5"
7,"2",27,"2","5"
7,"1",9,"1","5"
6,"2",65,"0","2"
8,"1",5,"0","2"
8,"1",2,"0","2"
8,"1",16,"2","2"
21,"2",10,"1","3"
21,"2",8,"1","3"
21,"2",6,"1","3"
21,"2",4,"0","3"
21,"1",1,"0","3"
21,"1",25,"1","3"
21,"2",23,"0","3"
21,"2",6,"1","3"
21,"1",4,"0","3"
21,"2",2,"0","3"
21,"1",23,"2","3"
21,"2",16,"2","3"
21,"1",0,"0","3"
21,"1",21,"2","3"
21,"1",18,"2","3"
21,"1",16,"2","3"
6,"1",19,"3","3"
7,"2",26,"3","5"
7,"2",2,"0","5"
7,"2",18,"2","3"
7,"2",15,"2","3"
8,"1",55,"0","5"
8,"1",45,"0","5"
8,"1",55,"0","5"
7,"1",10,"1","5"
7,"2",9,"1","5"
10,"2",6,"0","4"
10,"2",3,"0","4"
10,"1",1,"0","4"
10,"2",9,"0","4"
10,"1",7,"0","4"
7,"2",0,"0","4"
7,"1",26,"3","4"
6,"2",10,"1","5"
12,"2",14,"2","5"
12,"2",20,"3","5"
12,"2",25,"2","5"
12,"1",8,"0","5"
12,"2",6,"0","5"
12,"1",5,"0","5"
12,"1",0,"0","5"
7,"1",6,"0","5"
7,"2",60,"0","5"
6,"1",7,"0","5"
7,"2",89,"0","5"
7,"1",68,"3","5"
8,"2",3,"0","4"
8,"1",1,"0","4"
8,"2",70,"0","4"
6,"2",70,"2","5"
10,"2",25,"0","4"
10,"1",9,"0","4"
10,"2",7,"0","4"
10,"1",6,"0","4"
10,"1",20,"1","4"
11,"2",36,"1","4"
11,"2",16,"2","4"
11,"2",14,"2","4"
11,"1",9,"1","4"
11,"2",35,"1","4"
11,"1",12,"1","4"
6,"2",80,"0","2"
6,"2",57,"0","3"
7,"2",4,"0","4"
7,"2",0,"0","4"
6,"2",18,"3","4"
10,"2",6,"0","3"
10,"2",25,"2","3"
10,"1",22,"2","3"
10,"2",21,"2","3"
10,"1",18,"2","3"
6,"2",0,"0","4"
8,"1",2,"0","4"
8,"1",26,"3","4"
8,"2",25,"3","4"
6,"1",42,"1","3"
6,"2",12,"1","3"
6,"1",0,"0","2"
10,"2",9,"1","3"
10,"2",28,"1","3"
10,"2",11,"1","3"
10,"1",8,"1","3"
10,"2",5,"0","3"
7,"2",20,"2","3"
7,"2",1,"0","3"
6,"2",20,"2","3"
6,"1",13,"1","3"
9,"1",13,"1","5"
9,"2",11,"1","5"
9,"1",27,"3","5"
9,"1",26,"3","5"
6,"2",68,"0","5"
6,"2",2,"0","4"
14,"1",0,"0","3"
14,"1",21,"1","3"
14,"2",17,"2","3"
14,"1",14,"1","3"
14,"1",12,"1","3"
14,"1",10,"1","3"
14,"2",8,"1","3"
14,"1",4,"0","3"
14,"2",0,"0","3"
7,"1",9,"0","2"
7,"2",55,"0","2"
7,"2",3,"0","3"
7,"1",70,"0","3"
6,"1",2,"0","3"
6,"1",8,"1","3"
11,"2",0,"0","5"
11,"1",21,"1","5"
11,"2",30,"2","5"
11,"1",6,"0","5"
11,"1",51,"2","5"
11,"2",47,"0","5"
7,"1",15,"2","5"
7,"2",13,"2","5"
16,"1",34,"2","5"
16,"2",30,"0","5"
16,"1",9,"1","5"
16,"1",7,"1","5"
16,"1",5,"0","5"
16,"1",30,"2","5"
16,"2",21,"2","5"
16,"2",3,"0","5"
16,"2",0,"0","5"
16,"1",14,"2","5"
16,"1",67,"2","5"
7,"2",9,"0","4"
7,"1",6,"0","4"
9,"2",5,"1","5"
9,"1",25,"3","5"
9,"1",21,"3","5"
9,"2",18,"2","5"
6,"2",4,"0","4"
6,"1",0,"0","4"
6,"2",16,"2","5"
7,"2",12,"1","4"
7,"2",9,"1","4"
9,"1",4,"0","4"
9,"2",16,"1","4"
9,"2",3,"0","4"
9,"2",18,"0","4"
6,"1",85,"0","2"
9,"1",19,"0","3"
9,"2",19,"0","3"
9,"1",15,"0","3"
9,"2",55,"0","3"
8,"2",4,"0","3"
8,"1",0,"0","3"
8,"1",20,"2","3"
7,"1",4,"0","2"
7,"2",2,"0","2"
13,"2",10,"0","3"
13,"1",8,"0","3"
13,"2",19,"0","3"
13,"2",4,"0","3"
13,"1",2,"0","3"
13,"2",17,"1","3"
13,"1",21,"2","3"
13,"2",0,"0","3"
7,"1",0,"0","4"
7,"1",17,"1","4"
6,"2",25,"0","2"
6,"2",0,"0","2"
7,"1",17,"1","3"
7,"2",15,"0","3"
7,"1",4,"0","3"
7,"2",75,"0","3"
11,"1",0,"0","2"
11,"1",16,"0","2"
11,"1",8,"0","2"
11,"1",6,"0","2"
11,"2",4,"0","2"
11,"1",70,"0","2"
8,"2",2,"0","5"
8,"1",28,"0","5"
8,"1",16,"2","5"
9,"1",5,"0","5"
9,"1",80,"2","5"
9,"2",27,"1","5"
9,"2",2,"0","5"
8,"2",6,"0","2"
8,"2",3,"0","2"
8,"2",2,"0","2"
6,"1",12,"1","5"
9,"1",12,"1","5"
9,"2",10,"0","5"
9,"2",8,"0","5"
9,"1",6,"0","5"
10,"1",18,"0","5"
10,"2",17,"2","5"
10,"1",15,"1","5"
10,"2",13,"1","5"
10,"2",61,"0","5"
7,"2",3,"0","4"
7,"1",1,"0","4"
8,"1",14,"1","3"
8,"1",10,"1","3"
8,"2",10,"1","3"
6,"1",12,"1","3"
18,"2",12,"1","5"
18,"2",10,"1","5"
18,"1",28,"3","5"
18,"1",25,"3","5"
18,"1",23,"3","5"
18,"2",20,"3","5"
18,"1",0,"0","5"
18,"2",17,"3","5"
18,"1",16,"2","5"
18,"1",12,"2","5"
18,"1",11,"1","5"
18,"1",9,"1","5"
18,"1",8,"1","5"
8,"2",7,"0","3"
8,"1",5,"0","3"
8,"1",2,"0","3"
7,"1",5,"0","4"
7,"1",2,"0","4"
7,"1",8,"1","5"
7,"1",6,"1","5"
9,"1",16,"2","5"
9,"1",14,"1","5"
9,"1",12,"1","5"
9,"1",10,"1","5"
6,"1",9,"0","2"
7,"1",60,"0","4"
7,"2",57,"0","4"
7,"2",12,"2","5"
7,"2",10,"1","5"
7,"2",6,"0","5"
7,"2",1,"0","5"
8,"2",5,"0","4"
8,"1",1,"0","4"
8,"2",57,"0","4"
7,"1",5,"0","3"
7,"1",2,"0","3"
6,"2",10,"1","5"
10,"2",29,"0","4"
10,"1",10,"1","4"
10,"2",8,"0","4"
10,"2",6,"0","4"
10,"1",2,"0","4"
6,"1",12,"2","5"
6,"2",10,"1","5"
7,"2",20,"2","5"
7,"2",3,"0","5"
8,"2",14,"1","4"
8,"2",14,"1","4"
8,"2",10,"1","4"
7,"1",20,"3","5"
7,"1",18,"2","5"
6,"1",18,"2","5"
7,"2",8,"0","5"
7,"2",6,"0","5"
8,"2",25,"0","3"
8,"1",3,"0","3"
8,"1",2,"0","3"
6,"1",24,"0","5"
7,"1",2,"0","5"
7,"2",0,"0","5"
8,"2",0,"0","5"
8,"1",23,"2","5"
8,"2",16,"2","5"
13,"2",25,"1","3"
13,"2",8,"0","3"
13,"1",5,"0","3"
13,"2",4,"0","3"
13,"1",2,"0","3"
13,"1",21,"1","3"
13,"2",19,"2","3"
13,"2",14,"2","3"
8,"2",7,"0","3"
8,"2",6,"0","3"
8,"2",3,"0","3"
9,"1",1,"0","2"
9,"1",24,"3","2"
9,"1",17,"2","2"
9,"2",11,"1","2"
8,"1",3,"0","2"
8,"2",68,"0","2"
8,"2",4,"0","2"
6,"1",2,"0","2"
6,"1",20,"2","2"
6,"2",6,"0","2"
8,"2",22,"0","2"
8,"2",3,"0","2"
8,"1",2,"0","2"
8,"2",5,"0","2"
8,"1",1,"0","2"
8,"1",18,"1","2"
12,"2",3,"0","4"
12,"1",1,"0","4"
12,"1",24,"1","4"
12,"1",21,"2","4"
12,"1",19,"2","4"
12,"2",16,"2","4"
12,"1",13,"2","4"
9,"2",5,"0","2"
9,"2",2,"0","2"
9,"1",15,"2","2"
9,"2",12,"1","2"
6,"2",13,"1","2"
6,"2",11,"0","3"
6,"1",6,"1","2"
8,"2",5,"1","2"
8,"1",3,"0","2"
8,"2",0,"0","2"
10,"2",6,"1","3"
10,"2",2,"0","3"
10,"2",27,"2","3"
10,"2",5,"0","3"
10,"2",3,"0","3"
8,"1",3,"0","3"
8,"2",0,"0","3"
8,"1",21,"2","3"
6,"2",16,"0","4"
11,"1",0,"0","4"
11,"2",30,"0","4"
11,"2",7,"1","4"
11,"1",6,"1","4"
11,"2",21,"0","4"
11,"2",0,"0","4"
8,"1",18,"2","4"
8,"1",12,"1","4"
8,"2",9,"1","4"
9,"2",2,"0","2"
9,"2",19,"0","2"
9,"1",1,"0","2"
9,"1",26,"0","2"
6,"2",51,"0","3"
6,"1",0,"0","4"
6,"1",19,"2","3"
7,"2",20,"2","2"
7,"2",1,"0","2"
8,"1",11,"1","1"
8,"2",9,"1","1"
8,"2",83,"0","1"
10,"2",3,"0","2"
10,"1",1,"0","2"
10,"1",21,"1","2"
10,"2",18,"0","2"
10,"2",18,"1","2"
7,"1",0,"0","3"
7,"2",14,"2","3"
9,"2",15,"2","3"
9,"2",25,"0","3"
9,"2",7,"0","3"
9,"1",6,"0","3"
6,"1",3,"0","3"
8,"2",12,"1","3"
8,"1",9,"1","3"
8,"1",68,"0","3"
7,"1",5,"0","2"
7,"1",90,"0","2"
6,"2",67,"0","2"
7,"2",7,"1","1"
7,"2",5,"0","1"
10,"2",6,"1","2"
10,"2",3,"0","2"
10,"2",22,"0","2"
10,"1",2,"0","2"
10,"1",16,"2","2"
6,"2",62,"0","2"
7,"1",6,"0","4"
7,"2",17,"2","4"
8,"1",25,"2","3"
8,"1",4,"0","3"
8,"2",3,"0","3"
8,"2",3,"0","4"
8,"2",21,"2","4"
8,"2",0,"0","4"
8,"1",0,"0","2"
8,"2",17,"1","2"
8,"1",62,"1","2"
6,"2",3,"0","2"
7,"2",21,"2","3"
7,"2",2,"0","3"
7,"1",1,"0","2"
7,"2",72,"0","2"
6,"2",22,"1","4"
11,"2",13,"1","1"
11,"2",10,"1","1"
11,"1",27,"1","1"
11,"2",24,"1","1"
11,"2",3,"0","1"
11,"2",1,"0","1"
7,"1",1,"0","2"
7,"1",18,"2","2"
7,"1",6,"1","2"
7,"1",3,"0","2"
11,"2",7,"1","3"
11,"2",5,"1","3"
11,"1",27,"0","3"
11,"2",26,"1","3"
11,"1",19,"0","3"
11,"2",19,"1","3"
8,"1",26,"2","5"
8,"2",24,"2","5"
8,"2",0,"0","5"
6,"2",1,"0","3"
8,"1",3,"0","4"
8,"1",17,"2","4"
8,"1",14,"2","4"
6,"2",85,"0","3"
6,"1",1,"0","2"
9,"2",25,"3","3"
9,"2",17,"2","3"
9,"2",13,"2","3"
9,"2",29,"3","3"
6,"1",66,"0","2"
9,"1",28,"2","3"
9,"2",18,"2","3"
9,"1",6,"1","3"
9,"2",0,"0","3"
6,"2",65,"0","2"
8,"2",3,"0","4"
8,"1",1,"0","4"
8,"1",1,"0","4"
6,"1",1,"0","3"
6,"1",16,"2","3"
6,"1",9,"1","2"
7,"2",6,"0","4"
7,"2",4,"0","4"
6,"1",76,"0","4"
8,"1",1,"0","5"
8,"2",14,"2","5"
8,"2",65,"0","5"
6,"1",95,"0","3"
13,"2",12,"1","4"
13,"1",9,"1","4"
13,"2",7,"0","4"
13,"2",26,"1","4"
13,"1",10,"1","4"
13,"1",7,"0","4"
13,"1",20,"2","4"
13,"2",17,"2","4"
7,"1",66,"8","4"
7,"2",63,"0","4"
10,"1",40,"2","5"
10,"2",11,"1","5"
10,"2",6,"0","5"
10,"1",2,"0","5"
10,"2",74,"0","5"
15,"2",4,"0","3"
15,"1",0,"0","3"
15,"2",26,"0","3"
15,"2",7,"1","3"
15,"2",5,"0","3"
15,"2",3,"0","3"
15,"1",0,"0","3"
15,"2",25,"0","3"
15,"1",3,"0","3"
15,"1",0,"0","3"
8,"2",70,"0","4"
8,"2",18,"2","4"
8,"2",0,"0","4"
14,"1",17,"2","5"
14,"1",14,"1","5"
14,"2",60,"0","5"
14,"1",33,"3","5"
14,"2",29,"3","5"
14,"2",13,"2","5"
14,"2",11,"1","5"
14,"1",6,"0","5"
14,"1",19,"3","5"
7,"1",72,"0","4"
7,"2",68,"0","4"
9,"2",25,"1","4"
9,"2",8,"1","4"
9,"2",6,"1","4"
9,"2",2,"0","4"
12,"1",6,"1","5"
12,"2",29,"3","5"
12,"1",5,"0","5"
12,"1",27,"3","5"
12,"2",21,"2","5"
12,"2",1,"0","5"
12,"2",80,"0","5"
9,"2",5,"1","3"
9,"1",1,"0","3"
9,"2",20,"2","3"
9,"2",17,"2","3"
6,"1",17,"1","3"
7,"1",3,"0","4"
7,"1",14,"2","4"
9,"2",12,"1","3"
9,"1",10,"1","3"
9,"2",7,"1","3"
9,"2",72,"0","3"
6,"2",76,"0","4"
8,"2",0,"0","2"
8,"1",18,"1","2"
8,"1",14,"2","2"
6,"2",1,"0","3"
6,"1",3,"0","3"
11,"2",2,"0","4"
11,"2",23,"0","4"
11,"1",5,"0","4"
11,"2",2,"0","4"
11,"2",22,"2","4"
11,"1",24,"3","4"
9,"2",13,"1","3"
9,"1",8,"0","3"
9,"1",4,"0","3"
9,"2",72,"0","3"
7,"2",2,"0","5"
7,"2",1,"0","5"
7,"1",8,"1","3"
7,"2",1,"0","3"
6,"1",1,"0","4"
6,"1",4,"0","4"
8,"2",16,"1","4"
8,"1",14,"2","4"
8,"2",70,"0","4"
6,"2",57,"0","4"
7,"1",12,"1","4"
7,"2",26,"0","4"
7,"2",16,"2","4"
7,"2",12,"1","4"
6,"2",82,"0","4"
7,"2",1,"0","4"
7,"1",19,"2","4"
7,"2",22,"0","3"
7,"2",0,"0","3"
6,"2",9,"1","3"
6,"2",5,"0","2"
9,"2",3,"0","4"
9,"2",20,"1","4"
9,"2",3,"0","4"
9,"1",20,"3","4"
6,"1",3,"0","2"
7,"2",5,"0","4"
7,"2",2,"0","4"
6,"2",7,"1","2"
7,"2",1,"0","2"
7,"2",18,"2","2"
10,"1",5,"0","3"
10,"1",0,"0","3"
10,"1",18,"2","3"
10,"2",22,"2","3"
10,"2",1,"0","3"
8,"1",7,"0","3"
8,"1",5,"0","3"
8,"2",64,"0","3"
9,"2",10,"1","4"
9,"2",44,"1","4"
9,"2",14,"2","4"
9,"1",75,"1","4"
7,"2",17,"2","4"
7,"2",72,"0","4"
8,"2",2,"0","3"
8,"1",0,"0","3"
8,"1",8,"1","3"
10,"1",33,"2","4"
10,"2",26,"2","4"
10,"1",8,"0","4"
10,"2",5,"0","4"
10,"1",15,"2","4"
9,"1",15,"1","3"
9,"1",27,"2","3"
9,"2",20,"1","3"
9,"2",2,"0","3"
6,"1",3,"0","3"
7,"2",14,"2","2"
7,"2",0,"0","2"
6,"2",13,"1","3"
8,"1",6,"0","3"
8,"2",5,"0","3"
8,"2",3,"0","3"
13,"2",0,"0","3"
13,"1",25,"2","3"
13,"2",20,"0","3"
13,"1",0,"0","3"
13,"2",20,"0","3"
13,"1",15,"1","3"
13,"2",13,"0","3"
13,"1",11,"1","3"
7,"1",73,"0","3"
7,"2",64,"0","3"
6,"1",76,"0","3"
8,"2",5,"0","4"
8,"1",2,"0","4"
8,"1",72,"0","4"
6,"2",9,"0","3"
8,"2",0,"0","3"
8,"1",23,"2","3"
8,"2",8,"1","3"
7,"1",0,"0","3"
7,"1",60,"0","3"
6,"1",69,"0","3"
6,"2",62,"0","3"
8,"2",12,"2","3"
8,"2",6,"0","3"
8,"1",2,"0","3"
9,"2",9,"1","2"
9,"2",6,"1","2"
9,"2",5,"0","2"
9,"1",1,"0","2"
6,"1",73,"0","3"
13,"1",25,"1","3"
13,"2",24,"2","3"
13,"1",5,"1","3"
13,"2",2,"0","3"
13,"1",0,"0","3"
13,"2",44,"0","3"
13,"2",9,"0","3"
13,"2",2,"0","3"
7,"2",18,"0","1"
7,"1",10,"1","1"
7,"1",12,"2","2"
7,"2",10,"1","2"
6,"2",72,"0","4"
6,"1",7,"1","3"
7,"1",49,"0","3"
7,"2",45,"0","3"
6,"1",67,"0","2"
8,"2",20,"2","3"
8,"1",0,"0","3"
8,"1",12,"1","3"
6,"2",11,"1","4"
7,"1",9,"1","3"
7,"1",6,"1","3"
8,"2",5,"0","4"
8,"2",0,"0","4"
8,"2",80,"0","4"
11,"2",46,"0","4"
11,"2",13,"2","4"
11,"1",10,"1","4"
11,"2",8,"1","4"
11,"2",10,"1","4"
11,"1",12,"1","4"
10,"1",14,"2","4"
10,"1",41,"1","4"
10,"2",38,"0","4"
10,"2",9,"1","4"
10,"2",6,"1","4"
7,"2",89,"0","4"
7,"1",4,"0","4"
6,"2",1,"0","4"
8,"1",3,"0","4"
8,"2",22,"0","4"
8,"1",2,"0","4"
7,"1",13,"2","3"
7,"1",12,"1","3"
7,"1",8,"1","2"
7,"1",7,"1","2"
10,"2",16,"2","3"
10,"1",11,"2","3"
10,"1",16,"1","3"
10,"1",8,"0","3"
10,"2",6,"0","3"
14,"2",3,"0","4"
14,"1",1,"0","4"
14,"1",25,"2","4"
14,"2",24,"0","4"
14,"2",6,"1","4"
14,"1",2,"0","4"
14,"2",18,"0","4"
14,"1",1,"0","4"
14,"2",16,"0","4"
7,"2",5,"0","2"
7,"1",2,"0","2"
6,"1",1,"0","2"
7,"2",20,"2","4"
7,"2",1,"0","4"
6,"2",12,"1","4"
7,"2",22,"0","3"
7,"1",2,"0","3"
6,"2",3,"0","4"
7,"2",2,"0","4"
7,"1",18,"1","4"
6,"1",3,"0","2"
14,"1",1,"0","3"
14,"2",18,"0","3"
14,"2",0,"0","3"
14,"2",8,"0","3"
14,"1",7,"0","3"
14,"2",34,"0","3"
14,"2",11,"1","3"
14,"1",7,"0","3"
14,"1",5,"0","3"
14,"2",2,"0","3"
14,"1",27,"2","3"
14,"2",24,"0","3"
14,"1",3,"0","3"
14,"1",1,"0","3"
14,"2",70,"0","3"
14,"2",14,"2","3"
14,"2",17,"2","3"
14,"1",21,"3","3"
9,"1",13,"1","4"
9,"1",11,"1","4"
9,"1",72,"1","4"
9,"2",65,"0","4"
6,"1",17,"1","2"
6,"2",82,"0","3"
7,"2",22,"0","4"
7,"2",2,"0","4"
9,"2",20,"1","4"
9,"2",3,"0","4"
9,"2",1,"0","4"
9,"2",16,"1","4"
11,"2",22,"0","3"
11,"1",4,"0","3"
11,"1",2,"0","3"
11,"2",18,"0","3"
11,"2",1,"0","3"
11,"1",10,"0","3"
8,"2",0,"0","4"
8,"1",20,"2","4"
8,"2",16,"0","4"
6,"1",0,"0","3"
7,"2",16,"2","4"
7,"2",0,"0","4"
9,"1",1,"0","4"
9,"2",24,"0","4"
9,"1",4,"0","4"
9,"2",17,"2","4"
6,"2",6,"1","3"
6,"1",0,"0","1"
7,"1",72,"2","3"
7,"2",17,"2","3"
7,"1",23,"3","3"
7,"2",65,"0","3"
7,"1",85,"0","4"
7,"2",17,"2","4"
10,"2",12,"1","3"
10,"1",9,"0","3"
10,"2",29,"1","3"
10,"1",10,"1","3"
10,"2",5,"1","3"
6,"2",9,"1","5"
8,"2",19,"2","3"
8,"1",13,"2","3"
8,"1",7,"1","3"
10,"1",22,"3","3"
10,"2",21,"3","3"
10,"2",0,"0","3"
10,"2",25,"3","3"
10,"1",2,"0","3"
8,"1",65,"0","3"
8,"2",62,"0","3"
8,"1",63,"0","3"
7,"2",22,"1","4"
7,"2",75,"0","4"
7,"2",7,"1","2"
7,"1",3,"0","2"
8,"2",5,"0","4"
8,"2",3,"0","4"
8,"1",2,"0","4"
7,"1",11,"1","4"
7,"2",65,"0","4"
6,"1",8,"0","3"
6,"1",14,"1","3"
9,"1",24,"2","4"
9,"2",18,"2","4"
9,"1",16,"2","4"
9,"1",15,"1","4"
7,"2",55,"0","3"
7,"2",5,"0","3"
9,"2",10,"0","3"
9,"2",7,"0","3"
9,"1",5,"0","3"
9,"1",3,"0","3"
8,"2",14,"1","4"
8,"1",11,"1","4"
8,"1",8,"1","4"
9,"2",14,"2","3"
9,"2",9,"1","3"
9,"2",6,"0","3"
9,"1",3,"0","3"
6,"1",0,"0","3"
6,"1",7,"0","3"
8,"2",21,"1","2"
8,"1",0,"0","2"
8,"2",19,"0","2"
8,"2",2,"0","4"
8,"1",0,"0","4"
8,"1",14,"2","4"
9,"1",22,"0","4"
9,"2",18,"0","4"
9,"1",18,"2","4"
9,"1",70,"2","4"
6,"1",6,"0","4"
7,"2",3,"0","2"
7,"2",1,"0","2"
6,"1",78,"0","2"
9,"2",18,"0","4"
9,"1",13,"1","4"
9,"1",10,"1","4"
9,"2",6,"0","4"
6,"1",7,"1","1"
7,"2",10,"1","4"
7,"1",8,"1","4"
6,"2",62,"0","4"
21,"2",10,"1","5"
21,"1",8,"1","5"
21,"1",7,"1","5"
21,"1",6,"0","5"
21,"1",30,"2","5"
21,"2",25,"2","5"
21,"1",7,"0","5"
21,"2",3,"0","5"
21,"2",1,"0","5"
21,"1",27,"3","5"
21,"2",24,"0","5"
21,"2",5,"1","5"
21,"1",2,"0","5"
21,"1",1,"0","5"
21,"2",20,"2","5"
21,"1",20,"2","5"
7,"2",16,"0","3"
7,"2",24,"0","3"
6,"2",49,"0","3"
7,"2",15,"2","4"
7,"2",13,"2","4"
6,"1",11,"1","4"
8,"2",9,"1","3"
8,"2",5,"1","3"
8,"1",3,"0","3"
8,"2",10,"0","4"
8,"1",5,"1","4"
8,"2",3,"0","4"
9,"1",5,"1","1"
9,"1",1,"0","1"
9,"1",25,"2","1"
9,"2",20,"2","1"
7,"1",4,"0","2"
7,"1",1,"0","2"
13,"2",12,"0","3"
13,"2",10,"0","3"
13,"2",8,"1","3"
13,"1",5,"0","3"
13,"2",25,"0","3"
